city,state,fips_code_city,speed
akron,oh,3901000,25
albuquerque,nm,3502000,25
ann-arbor,mi,2603000,25
aspen,co,0803620,20
atlanta,ga,1304000,25
aurora,co,0804000,25
aurora,il,1703025,25
austin,tx,4805000,25
bainbridge-island,wa,5303736,20
batavia,il,1704091,30
bella-vista,ar,0504840,25
bellingham,wa,5305280,25
bend,or,4105800,25
bentonville,ar,0505320,25
bethesda,md,2406138,25
blacksburg,va,5107784,25
bloomington,in,1805860,25
boston,ma,2507000,25
boulder,co,0807850,20
bowling-green,ky,2108902,25
braintree,ma,2507740,25
brookhaven,ga,1310944,25
broomfield,co,0809280,25
buffalo,ny,3611000,30
burlington,vt,5010675,25
cambridge,ma,2511000,25
carmel,in,1810342,30
carrollton,ga,1313492,35
cary,nc,3710740,25
cedar-falls,ia,1911755,25
charlotte,nc,3712000,25
chattanooga,tn,4714000,25
chicago,il,1714000,30
cleveland,oh,3916000,25
coeur-dalene,id,1616750,25
colorado-springs,co,0816000,25
columbia,md,2419125,25
columbia,sc,4516000,30
columbus,oh,3918000,25
conway,ar,0515190,20
dallas,tx,4819000,30
davenport,ia,1919000,25
denver,co,0820000,20
des-moines,ia,1921000,25
detroit,mi,2622000,25
durham,nc,3719000,35
estes-park,co,0825115,25
eugene,or,4123850,20
evanston,il,1724582,25
fayetteville,ar,0523290,20
fishers,in,1823278,30
fitchburg,wi,5525950,25
flagstaff,az,0423620,25
flower-mound,tx,4826232,25
fort-collins,co,0827425,25
fort-lauderdale,fl,1224000,35
fremont,ca,0626000,25
gainesville,fl,1225175,30
gillette,wy,5631855,25
greensboro,nc,3728000,35
harrisburg,pa,4232800,25
henderson,nv,3231900,25
highland-park,il,1734722,25
hoffman-estates,il,1735411,25
houston,tx,4835000,30
indianapolis,in,1836003,30
jackson,wy,5640120,25
jersey-city,nj,3436000,25
joplin,mo,2937592,25
kettering,oh,3940040,25
key-west,fl,1236550,20
knoxville,tn,4740000,25
la-porte,in,1842246,30
lakewood,co,0843000,30
lawrence,ks,2038900,25
lebanon,il,1742496,25
lebanon,nh,3341300,25
lenexa,ks,2039350,25
lexington,ky,2146027,25
lexington,ma,2535215,25
lincoln,ne,3128000,25
littleton,co,0845255,30
lompoc,ca,0642524,25
longmont,co,0845970,25
louisville,co,0846355,25
loveland,co,0846465,25
madison,wi,5548000,25
manassas,va,5148952,25
manitou-springs,co,0848445,25
memphis,tn,4748000,25
miami-beach,fl,1245025,25
miami,fl,1245000,25
milwaukee,wi,5553000,25
minneapolis,mn,2743000,20
missoula,mt,3050200,25
montrose,co,0851745,25
morgantown,wv,5455756,25
mundelein,il,1751349,25
nantucket,ma,2543755,25
nashua,nh,3350260,30
nashville,tn,4700000,25
new-orleans,la,2255000,25
new-york,ny,3651000,25
nogales,az,0449640,25
norfolk,va,5157000,25
north-wildwood,nj,3453490,15
norwalk,ct,0955990,25
oakland,ca,0653000,25
orlando,fl,1253000,25
overland-park,ks,2053775,25
oxford,ms,2854840,30
palatine,il,1757238,30
paso-robles,ca,0622300,25
peachtree-city,ga,1359724,30
philadelphia,pa,4260000,25
pismo-beach,ca,0657414,25
portland,me,2360545,25
portland,or,4159000,20
provincetown,ma,2555500,20
provo,ut,4962470,25
raleigh,nc,3755000,35
rapid-city,sd,4652980,25
revere,ma,2556585,25
roanoke,va,5168000,25
rochester,mn,2754880,25
rockford,il,1765000,30
rogers,ar,0560410,25
sacramento,ca,0664000,25
saint-louis-park,mn,2757220,20
salida,co,0867280,25
salisbury,md,2469925,25
salt-lake-city,ut,4967000,20
san-diego,ca,0666000,25
san-elizario,tx,4865360,30
san-francisco,ca,0667000,25
san-jose,ca,0668000,25
san-luis-obispo,ca,0668154,25
santa-barbara,ca,0669070,25
santa-clarita,ca,0669088,25
santa-claus,in,1868022,25
santa-fe,nm,3570500,25
santa-monica,ca,0670000,25
seattle,wa,5363000,20
senoia,ga,1369672,35
siloam-springs,ar,0564370,30
sioux-falls,sd,4659020,25
somerville,ma,2562535,25
sonora,ca,0672674,25
southfield,mi,2674900,25
springdale,ar,0566080,20
springfield,ma,2567000,25
springfield,mo,2970000,25
st-paul,mn,2758000,20
sturgis,sd,4662100,25
tacoma,wa,5370000,20
temecula,ca,0678120,25
the-villages,fl,1271625,20
thornton,co,0877290,25
tigard,or,4173650,25
tyrone,ga,1378044,30
urbana,il,1777005,30
vandalia,oh,3979492,25
wichita,ks,2079000,30
