state_full,country,region
Alabama,United States,South
Alaska,United States,Pacific
Arizona,United States,Mountain
Arkansas,United States,South
California,United States,Pacific
Colorado,United States,Mountain
Connecticut,United States,New England
Delaware,United States,Mid-Atlantic
District of Columbia,United States,Mid-Atlantic
Florida,United States,South
Georgia,United States,South
Hawaii,United States,Pacific
Idaho,United States,Mountain
Illinois,United States,Midwest
Indiana,United States,Midwest
Iowa,United States,Midwest
Kansas,United States,Midwest
Kentucky,United States,South
Louisiana,United States,South
Maine,United States,New England
Maryland,United States,Mid-Atlantic
Massachusetts,United States,New England
Michigan,United States,Midwest
Minnesota,United States,Midwest
Mississippi,United States,South
Missouri,United States,Midwest
Montana,United States,Mountain
Nebraska,United States,Midwest
Nevada,United States,Mountain
New Hampshire,United States,New England
New Jersey,United States,Mid-Atlantic
New Mexico,United States,Mountain
New York,United States,Mid-Atlantic
North Carolina,United States,South
North Dakota,United States,Midwest
Ohio,United States,Midwest
Oklahoma,United States,South
Oregon,United States,Pacific
Pennsylvania,United States,Mid-Atlantic
Puerto Rico,United States,South
Rhode Island,United States,New England
South Carolina,United States,South
South Dakota,United States,Midwest
Tennessee,United States,South
Texas,United States,South
Utah,United States,Mountain
Vermont,United States,New England
Virginia,United States,South
Washington,United States,Pacific
West Virginia,United States,South
Wisconsin,United States,Midwest
Wyoming,United States,Mountain
